dates,scores
2017-06-11,331
2017-06-18,351
2017-06-25,363
2017-07-02,377
2017-07-09,224
2017-07-16,365
2017-07-23,297
2017-07-30,294
2017-08-06,346
2017-08-13,324
2017-08-20,341
2017-08-27,367
2017-09-03,374
2017-09-10,270
2017-09-17,334
2017-09-24,363
2017-10-01,331
2017-10-08,298
2017-10-15,290
2017-10-22,347
2017-10-29,324
2017-11-05,308
2017-11-12,288
2017-11-19,319
2017-11-26,212
2017-12-03,336
2017-12-10,331
2017-12-17,341
2017-12-24,292
2017-12-31,196
2018-01-07,190
2018-01-14,254
2018-01-21,227
2018-01-28,296
2018-02-04,286
2018-02-11,353
2018-02-18,357
2018-02-25,265
2018-03-04,306
2018-03-11,307
2018-03-18,350
2018-03-25,362
2018-04-01,336
2018-04-08,327
2018-04-15,320
2018-04-22,333
2018-04-29,366
2018-05-06,321
2018-05-13,303
2018-05-20,359
2018-05-27,257
2018-06-03,350
2018-06-10,334
2018-06-17,339
2018-06-24,284
2018-07-01,299
2018-07-08,211
2018-07-15,305
2018-07-22,336
2018-07-29,308
2018-08-05,318
2018-08-12,292
2018-08-19,382
2018-08-26,334
2018-09-02,356
2018-09-09,268
2018-09-16,305
2018-09-23,337
2018-09-30,337
2018-10-07,288
2018-10-14,259
2018-10-21,341
2018-10-28,290
2018-11-04,314
2018-11-11,223
2018-11-18,315
2018-11-25,211
2018-12-02,285
2018-12-09,257
2018-12-16,313
2018-12-23,290
2018-12-30,174
2019-01-06,181
2019-01-13,251
2019-01-20,250
2019-01-27,217
2019-02-03,262
2019-02-10,325
2019-02-17,302
2019-02-24,281
2019-03-03,319
2019-03-10,317
2019-03-17,313
2019-03-24,336
2019-03-31,343
2019-04-07,329
2019-04-14,315
2019-04-21,305
2019-04-28,316
2019-05-05,419
2019-05-12,337
2019-05-19,392
2019-05-26,316
2019-06-02,294
2019-06-09,344
2019-06-16,310
2019-06-23,306
2019-06-30,290
2019-07-07,191
2019-07-14,302
2019-07-21,380
2019-07-28,357
2019-08-04,355
2019-08-11,377
2019-08-18,323
2019-08-25,334
2019-09-01,354
2019-09-08,294
2019-09-15,358
2019-09-22,291
2019-09-29,301
2019-10-06,87
